,Model,Process Date,metrics,scores,type
340,unet,2023.03.30-12.28.32,unet_Precision,,afm_optico
341,unet,2023.03.30-12.29.32,unet_Precision,,afm_optico
342,unet,2023.03.30-12.31.57,unet_Precision,,afm_optico
343,unet,2023.03.30-12.33.04,unet_Precision,,afm_optico
344,unet,2023.03.30-12.33.45,unet_Precision,,afm_optico
345,unet,2023.03.30-16.13.37,unet_Precision,,afm_optico
346,unet,2023.03.30-17.34.33,unet_Precision,,afm_optico
347,unet,2023.03.30-19.58.05,unet_Precision,,afm_optico
348,unet,2023.03.30-19.58.41,unet_Precision,,afm_optico
349,unet,2023.03.30-20.03.56,unet_Precision,,afm_optico
350,unet,2023.03.30-20.04.42,unet_Precision,,afm_optico
351,unet,2023.06.02-19.19.46,unet_Precision,,afm_optico
352,unet,2023.06.02-19.22.04,unet_Precision,,afm_optico
353,unet,2023.06.02-19.22.49,unet_Precision,,afm_optico
354,unet,2023.06.02-19.23.39,unet_Precision,,afm_optico
355,unet,2023.06.02-19.28.13,unet_Precision,,afm_optico
356,unet,2023.06.02-19.29.01,unet_Precision,,afm_optico
357,unet,2023.06.02-19.38.05,unet_Precision,,afm_optico
358,unet,2023.06.02-20.22.44,unet_Precision,,afm_optico
359,unet,2023.06.02-20.23.50,unet_Precision,,afm_optico
360,unet,2023.06.02-20.26.43,unet_Precision,,afm_optico
361,unet,2023.06.02-20.30.15,unet_Precision,,afm_optico
362,unet,2023.06.02-20.31.45,unet_Precision,,afm_optico
363,unet,2023.06.02-20.32.27,unet_Precision,,afm_optico
364,unet,2021.07.27-20.24.13,unet_Recall,,afm_optico
365,unet,2022.04.09-22.15.32,unet_Recall,,afm_optico
366,unet,2023.03.26-07.00.18,unet_Recall,,afm_optico
367,unet,2023.03.26-07.02.39,unet_Recall,,afm_optico
368,unet,2023.03.26-11.25.23,unet_Recall,,afm_optico
369,unet,2023.03.26-11.28.40,unet_Recall,,afm_optico
370,unet,2023.03.26-15.52.33,unet_Recall,,afm_optico
371,unet,2023.03.26-15.53.37,unet_Recall,,afm_optico
372,unet,2023.03.26-18.43.02,unet_Recall,,afm_optico
373,unet,2023.03.26-18.45.32,unet_Recall,,afm_optico
374,unet,2023.03.26-18.56.14,unet_Recall,,afm_optico
375,unet,2023.03.26-18.59.12,unet_Recall,,afm_optico
376,unet,2023.03.26-19.01.32,unet_Recall,,afm_optico
377,unet,2023.03.26-22.54.06,unet_Recall,,afm_optico
378,unet,2023.03.26-22.54.41,unet_Recall,,afm_optico
379,unet,2023.03.26-22.56.46,unet_Recall,,afm_optico
380,unet,2023.03.26-22.57.27,unet_Recall,,afm_optico
381,unet,2023.03.28-22.27.27,unet_Recall,,afm_optico
382,unet,2023.03.28-22.29.11,unet_Recall,,afm_optico
383,unet,2023.03.28-22.40.02,unet_Recall,,afm_optico
384,unet,2023.03.28-22.40.42,unet_Recall,,afm_optico
385,unet,2023.03.28-22.41.32,unet_Recall,,afm_optico
386,unet,2023.03.29-21.52.58,unet_Recall,,afm_optico
387,unet,2023.03.29-21.54.34,unet_Recall,,afm_optico
388,unet,2023.03.29-21.57.23,unet_Recall,,afm_optico
389,unet,2023.03.29-22.03.33,unet_Recall,,afm_optico
390,unet,2023.03.29-22.07.18,unet_Recall,,afm_optico
391,unet,2023.03.30-12.27.27,unet_Recall,,afm_optico
392,unet,2023.03.30-12.28.32,unet_Recall,,afm_optico
393,unet,2023.03.30-12.29.32,unet_Recall,,afm_optico
394,unet,2023.03.30-12.31.57,unet_Recall,,afm_optico
395,unet,2023.03.30-12.33.04,unet_Recall,,afm_optico
396,unet,2023.03.30-12.33.45,unet_Recall,,afm_optico
397,unet,2023.03.30-16.13.37,unet_Recall,,afm_optico
398,unet,2023.03.30-17.34.33,unet_Recall,,afm_optico
399,unet,2023.03.30-19.58.05,unet_Recall,,afm_optico
400,unet,2023.03.30-19.58.41,unet_Recall,,afm_optico
401,unet,2023.03.30-20.03.56,unet_Recall,,afm_optico
402,unet,2023.03.30-20.04.42,unet_Recall,,afm_optico
