,Model,model_len,Process Date,metrics,scores
261,unet,226 somente optico,2023.03.26-18.59.12,Jaccard,0.2761194029850746
262,unet,226 somente optico,2023.03.26-19.01.32,Jaccard,0.270440251572327
263,logisticRegression_proba,226 somente optico,2023.03.26-22.54.06,Jaccard,0.2637362637362637
264,logisticRegression_proba,226 somente optico,2023.03.26-22.54.41,Jaccard,0.4929577464788732
265,unet,226 somente optico,2023.03.26-22.56.46,Jaccard,0.4645669291338583
266,logisticRegression_proba,226 somente optico,2023.03.26-22.57.27,Jaccard,0.4135021097046413
267,unet,226 somente optico,2023.03.28-22.27.27,Jaccard,0.2748091603053435
268,logisticRegression_proba,226 somente optico,2023.03.28-22.29.11,Jaccard,0.3846153846153846
269,unet,226 somente optico,2023.03.28-22.40.02,Jaccard,0.0
270,unet,226 somente optico,2023.03.28-22.40.42,Jaccard,0.2051282051282051
271,unet,226 somente optico,2023.03.28-22.41.32,Jaccard,0.0
272,unet,226 somente optico,2023.03.29-21.52.58,Jaccard,0.1016949152542373
273,logisticRegression_proba,226 somente optico,2023.03.29-21.54.34,Jaccard,0.2068965517241379
274,logisticRegression_proba,226 somente optico,2023.03.29-21.57.23,Jaccard,0.4
275,logisticRegression_proba,226 somente optico,2023.03.29-22.03.33,Jaccard,0.0879478827361563
276,unet,226 somente optico,2023.03.29-22.07.18,Jaccard,0.1461538461538461
277,logisticRegression_proba,226 somente optico,2023.03.30-12.27.27,Jaccard,0.5
278,logisticRegression_proba,226 somente optico,2023.03.30-12.28.32,Jaccard,0.535483870967742
279,unet,226 somente optico,2023.03.30-12.29.32,Jaccard,0.1383647798742138
280,unet,226 somente optico,2023.03.30-12.31.57,Jaccard,0.0
281,unet,226 somente optico,2023.03.30-12.33.04,Jaccard,0.1192660550458715
282,unet,226 somente optico,2023.03.30-12.33.45,Jaccard,0.3923076923076923
283,unet,226 somente optico,2023.03.30-16.13.37,Jaccard,0.2228260869565217
284,unet,226 somente optico,2023.03.30-17.34.33,Jaccard,0.9135802469135802
285,unet,226 somente optico,2023.03.30-19.58.05,Jaccard,0.3144329896907216
286,logisticRegression_proba,226 somente optico,2023.03.30-19.58.41,Jaccard,0.1204379562043795
287,unet,226 somente optico,2023.03.30-20.03.56,Jaccard,0.2101449275362318
288,unet,226 somente optico,2023.03.30-20.04.42,Jaccard,0.3189655172413793
289,unet,226 somente optico,2023.06.02-19.19.46,Jaccard,0.4850746268656716
290,unet,226 somente optico,2023.06.02-19.22.04,Jaccard,0.4189189189189189
291,unet,226 somente optico,2023.06.02-19.22.49,Jaccard,0.4272727272727272
292,unet,226 somente optico,2023.06.02-19.23.39,Jaccard,0.2226890756302521
293,unet,226 somente optico,2023.06.02-19.28.13,Jaccard,0.672566371681416
294,unet,226 somente optico,2023.06.02-19.29.01,Jaccard,0.5648854961832062
295,unet,226 somente optico,2023.06.02-19.38.05,Jaccard,0.48125
296,unet,226 somente optico,2023.06.02-20.22.44,Jaccard,0.368
297,unet,226 somente optico,2023.06.02-20.23.50,Jaccard,0.25
298,unet,226 somente optico,2023.06.02-20.26.43,Jaccard,0.4538461538461538
299,unet,226 somente optico,2023.06.02-20.30.15,Jaccard,0.44
300,unet,226 somente optico,2023.06.02-20.31.45,Jaccard,0.5619834710743802
301,unet,226 somente optico,2023.06.02-20.32.27,Jaccard,0.3
302,unet,175 imagens,2023.03.26-07.00.18,Jaccard,0.5853658536585366
303,unet,175 imagens,2023.03.26-07.02.39,Jaccard,0.9306930693069309
304,unet,175 imagens,2023.03.26-11.25.23,Jaccard,0.6289308176100629
305,unet,175 imagens,2023.03.26-11.28.40,Jaccard,0.7396226415094339
306,unet,175 imagens,2023.03.26-15.52.33,Jaccard,0.625
307,unet,175 imagens,2023.03.26-15.53.37,Jaccard,0.8689655172413793
308,unet,175 imagens,2023.03.26-18.43.02,Jaccard,0.8993288590604027
309,unet,175 imagens,2023.03.26-18.45.32,Jaccard,0.8805970149253731
310,unet,175 imagens,2023.03.26-18.56.14,Jaccard,0.6909871244635193
311,unet,175 imagens,2023.03.26-18.59.12,Jaccard,0.8701298701298701
312,unet,175 imagens,2023.03.26-19.01.32,Jaccard,0.7228915662650602
313,unet,175 imagens,2023.03.26-22.54.06,Jaccard,0.841726618705036
314,unet,175 imagens,2023.03.26-22.54.41,Jaccard,0.9136363636363636
315,unet,175 imagens,2023.03.26-22.56.46,Jaccard,0.841726618705036
316,unet,175 imagens,2023.03.26-22.57.27,Jaccard,0.8807339449541285
317,unet,175 imagens,2023.03.28-22.27.27,Jaccard,0.7678571428571429
318,unet,175 imagens,2023.03.28-22.29.11,Jaccard,0.9438202247191012
